id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
41679,37,management,single,tertiary,no,1027,yes,no,cellular,1,oct,137,1,119,1,failure,1
16234,49,services,married,secondary,no,702,no,yes,cellular,23,jul,194,1,-1,0,unknown,0
32209,29,blue-collar,single,secondary,no,1232,yes,no,cellular,16,apr,258,1,316,2,failure,0
37327,56,management,divorced,primary,no,26,yes,no,cellular,13,may,194,4,359,2,other,0
8030,35,services,divorced,secondary,no,440,yes,no,unknown,2,jun,101,1,-1,0,unknown,0
34954,32,admin.,married,secondary,no,752,yes,no,cellular,6,may,519,2,166,5,failure,1
1630,40,blue-collar,married,primary,no,2171,yes,no,unknown,9,may,97,1,-1,0,unknown,0
27612,45,management,married,secondary,no,1546,no,no,telephone,21,nov,171,2,-1,0,unknown,0
847,37,management,married,tertiary,no,0,yes,no,unknown,7,may,228,1,-1,0,unknown,0
11108,37,blue-collar,single,secondary,no,415,no,no,unknown,18,jun,203,1,-1,0,unknown,0
4231,51,admin.,divorced,secondary,no,467,yes,no,unknown,19,may,83,1,-1,0,unknown,0
9162,26,technician,married,secondary,no,-293,yes,yes,unknown,5,jun,64,2,-1,0,unknown,0
31291,37,unemployed,single,tertiary,no,1316,yes,no,cellular,10,mar,350,2,112,3,failure,1
6808,40,management,married,tertiary,no,384,no,no,unknown,28,may,191,2,-1,0,unknown,0
37041,34,admin.,single,primary,no,286,yes,no,cellular,13,may,329,1,-1,0,unknown,0
31807,57,management,married,tertiary,no,1287,yes,no,cellular,8,apr,180,2,-1,0,unknown,0
37390,33,management,divorced,tertiary,no,5550,yes,no,cellular,13,may,124,2,278,4,failure,0
22629,40,management,married,secondary,no,830,no,no,cellular,22,aug,155,6,-1,0,unknown,0
22510,31,management,single,tertiary,no,-201,yes,no,cellular,22,aug,81,4,-1,0,unknown,0
26109,35,services,married,primary,no,31,no,yes,cellular,19,nov,131,3,133,3,failure,0
1957,51,management,married,tertiary,no,91,yes,no,unknown,9,may,178,2,-1,0,unknown,0
18182,59,management,married,tertiary,no,123,yes,no,cellular,30,jul,70,6,-1,0,unknown,0
33135,28,management,single,secondary,no,2840,no,no,cellular,20,apr,227,5,-1,0,unknown,1
40206,34,technician,married,secondary,no,294,yes,no,cellular,8,jun,301,3,-1,0,unknown,1
12828,35,services,divorced,secondary,no,35,yes,no,cellular,7,jul,129,4,-1,0,unknown,0
10331,49,blue-collar,married,primary,no,518,yes,no,unknown,12,jun,223,1,-1,0,unknown,0
37250,34,technician,married,secondary,no,178,yes,no,cellular,13,may,253,1,-1,0,unknown,0
25353,37,admin.,married,secondary,no,960,no,no,telephone,18,nov,50,3,-1,0,unknown,0
21506,31,technician,married,tertiary,no,6562,yes,no,cellular,19,aug,118,2,-1,0,unknown,0
29434,43,services,single,secondary,no,21,no,no,cellular,3,feb,203,3,-1,0,unknown,0
5092,46,management,single,tertiary,no,-867,yes,yes,unknown,21,may,222,5,-1,0,unknown,0
31309,29,admin.,single,secondary,no,345,no,no,cellular,11,mar,60,3,-1,0,unknown,0
9456,53,blue-collar,married,secondary,no,0,no,no,unknown,6,jun,650,1,-1,0,unknown,0
32293,54,housemaid,married,secondary,no,736,yes,no,cellular,16,apr,268,1,331,1,failure,0
40746,39,blue-collar,single,tertiary,no,172,yes,no,cellular,10,aug,248,1,131,1,success,0
1999,35,self-employed,married,secondary,no,351,yes,no,unknown,9,may,298,2,-1,0,unknown,0
24330,58,management,divorced,tertiary,no,0,no,no,cellular,17,nov,107,1,-1,0,unknown,0
14772,57,services,married,secondary,no,-37,no,yes,telephone,16,jul,31,6,-1,0,unknown,0
13771,57,retired,married,tertiary,no,-5,no,no,cellular,10,jul,42,1,-1,0,unknown,0
27082,33,blue-collar,single,secondary,no,5739,yes,yes,cellular,21,nov,374,1,-1,0,unknown,0
28918,21,unemployed,single,secondary,no,1333,no,no,cellular,2,feb,120,1,-1,0,unknown,0
4538,33,services,married,secondary,no,7,yes,no,unknown,20,may,217,1,-1,0,unknown,0
40292,28,admin.,single,secondary,no,520,yes,no,cellular,15,jun,29,1,-1,0,unknown,0
20473,30,management,single,secondary,no,1913,no,no,cellular,12,aug,250,2,-1,0,unknown,0
43414,50,management,married,tertiary,no,5108,yes,no,cellular,5,apr,874,2,108,3,success,0
20272,53,management,married,tertiary,no,0,no,no,cellular,11,aug,608,2,-1,0,unknown,1
10801,42,entrepreneur,married,tertiary,no,1654,no,no,unknown,17,jun,116,1,-1,0,unknown,0
22291,33,management,married,tertiary,no,0,no,yes,cellular,21,aug,148,3,-1,0,unknown,0
11389,54,retired,married,primary,no,1925,no,no,unknown,19,jun,348,3,-1,0,unknown,0
11403,51,admin.,married,secondary,no,884,no,no,unknown,19,jun,50,1,-1,0,unknown,0
15980,33,admin.,single,secondary,no,241,no,no,cellular,22,jul,490,1,-1,0,unknown,0
3177,50,technician,married,tertiary,no,2938,yes,no,unknown,15,may,170,5,-1,0,unknown,0
6245,46,technician,divorced,secondary,no,119,yes,no,unknown,27,may,106,1,-1,0,unknown,0
3616,61,retired,married,secondary,no,280,yes,no,unknown,15,may,88,3,-1,0,unknown,0
26356,40,technician,married,secondary,no,4341,no,no,cellular,20,nov,290,1,-1,0,unknown,0
33098,32,blue-collar,married,secondary,no,112,yes,no,cellular,20,apr,311,1,321,1,other,0
15547,35,technician,married,secondary,no,1057,yes,no,cellular,21,jul,144,2,-1,0,unknown,0
31301,34,management,married,tertiary,no,1674,yes,no,cellular,10,mar,113,1,210,7,failure,0
2598,44,technician,single,tertiary,no,607,yes,no,unknown,13,may,119,2,-1,0,unknown,0
28129,26,student,married,secondary,no,289,no,no,cellular,29,jan,220,1,-1,0,unknown,0
26847,56,technician,single,secondary,no,1437,yes,no,cellular,20,nov,367,8,-1,0,unknown,0
18292,47,entrepreneur,married,secondary,no,404,no,no,telephone,31,jul,125,7,-1,0,unknown,0
30457,47,admin.,single,tertiary,no,178,no,no,telephone,5,feb,17,6,-1,0,unknown,0
3659,52,blue-collar,married,primary,no,779,yes,no,unknown,16,may,30,3,-1,0,unknown,0
36492,40,technician,divorced,secondary,no,16,yes,no,telephone,12,may,34,12,347,5,other,0
26010,53,technician,married,unknown,no,6921,yes,no,cellular,19,nov,130,3,188,2,other,0
40009,58,management,married,tertiary,no,2261,yes,no,cellular,3,jun,1361,1,391,1,failure,0
20842,47,admin.,married,secondary,no,328,no,no,cellular,13,aug,260,2,-1,0,unknown,0
36557,37,technician,married,secondary,no,1109,yes,no,cellular,12,may,62,1,354,5,failure,0
4638,31,blue-collar,married,primary,no,26,yes,no,unknown,20,may,51,26,-1,0,unknown,0
26655,30,admin.,single,tertiary,no,732,no,no,cellular,20,nov,179,1,-1,0,unknown,0
13737,33,services,single,secondary,no,-56,no,yes,cellular,10,jul,119,5,-1,0,unknown,0
42848,34,admin.,divorced,secondary,no,661,yes,no,cellular,3,feb,122,1,96,9,other,0
3588,56,blue-collar,married,primary,no,690,yes,no,unknown,15,may,309,2,-1,0,unknown,0
31433,19,student,single,primary,no,134,no,no,cellular,27,mar,271,2,-1,0,unknown,1
39418,27,student,single,tertiary,no,3733,yes,no,cellular,22,may,198,1,98,6,success,1
17811,43,management,married,tertiary,no,1800,no,no,telephone,29,jul,103,3,-1,0,unknown,0
3760,50,entrepreneur,married,secondary,no,556,yes,no,unknown,16,may,130,2,-1,0,unknown,0
15903,30,blue-collar,married,primary,no,1,yes,yes,telephone,22,jul,80,2,-1,0,unknown,0
33998,60,retired,married,unknown,no,209,no,no,cellular,30,apr,472,1,-1,0,unknown,0
24918,42,blue-collar,married,primary,no,2273,yes,no,cellular,18,nov,253,1,112,2,failure,0
4066,46,blue-collar,married,primary,no,7934,yes,no,unknown,19,may,123,1,-1,0,unknown,0
8607,23,blue-collar,single,secondary,yes,-207,yes,no,unknown,3,jun,277,1,-1,0,unknown,0
26912,45,services,married,secondary,no,507,no,yes,cellular,21,nov,304,2,-1,0,unknown,0
39073,26,blue-collar,single,primary,no,37,yes,no,cellular,18,may,121,5,-1,0,unknown,0
40223,25,technician,single,tertiary,no,3630,no,no,telephone,9,jun,221,7,-1,0,unknown,1
20412,57,retired,married,primary,no,-12,no,yes,cellular,12,aug,80,8,-1,0,unknown,0
22529,40,technician,married,tertiary,no,1207,no,no,cellular,22,aug,105,3,-1,0,unknown,0
26773,47,unemployed,married,secondary,no,3533,yes,no,cellular,20,nov,319,1,100,2,failure,0
32324,34,management,married,tertiary,no,934,yes,no,cellular,16,apr,76,3,-1,0,unknown,0
37157,35,management,single,tertiary,no,2749,no,no,cellular,13,may,127,1,-1,0,unknown,0
1329,32,admin.,married,secondary,no,514,yes,no,unknown,8,may,459,1,-1,0,unknown,0
11315,45,services,single,secondary,no,359,yes,no,unknown,18,jun,41,8,-1,0,unknown,0
41706,70,retired,married,primary,no,8897,no,no,cellular,6,oct,692,2,-1,0,unknown,0
940,26,services,married,secondary,no,0,yes,no,unknown,7,may,180,2,-1,0,unknown,0
42156,34,management,married,tertiary,no,527,no,no,cellular,4,nov,272,1,-1,0,unknown,0
20709,33,technician,single,secondary,no,6325,no,no,cellular,13,aug,206,2,-1,0,unknown,0
10703,47,blue-collar,married,primary,no,667,no,no,unknown,16,jun,54,1,-1,0,unknown,0
14061,50,services,divorced,secondary,no,0,yes,no,cellular,11,jul,170,2,-1,0,unknown,0
35998,50,blue-collar,single,primary,no,496,yes,no,cellular,8,may,108,1,-1,0,unknown,0
3369,28,student,single,secondary,no,0,yes,no,unknown,15,may,133,3,-1,0,unknown,0
29904,41,blue-collar,divorced,primary,no,548,yes,yes,cellular,4,feb,149,1,250,1,failure,0
42637,34,blue-collar,married,primary,no,6718,no,no,cellular,13,jan,278,4,97,1,other,0
30462,35,admin.,single,secondary,no,1016,no,yes,cellular,5,feb,418,2,-1,0,unknown,0
15756,56,services,married,primary,no,486,no,yes,telephone,21,jul,1877,1,-1,0,unknown,1
9134,53,services,divorced,primary,no,3107,no,no,unknown,5,jun,152,1,-1,0,unknown,0
22421,55,blue-collar,married,unknown,no,890,no,no,cellular,22,aug,1329,2,-1,0,unknown,1
29501,38,technician,divorced,secondary,no,902,yes,no,cellular,3,feb,650,1,-1,0,unknown,1
21835,53,management,married,tertiary,no,404,no,no,cellular,20,aug,329,4,-1,0,unknown,0
2770,28,blue-collar,single,primary,no,348,yes,yes,unknown,14,may,305,3,-1,0,unknown,0
32604,34,blue-collar,married,primary,no,329,yes,no,cellular,17,apr,952,1,343,1,failure,1
25974,43,management,married,primary,no,8167,yes,no,telephone,19,nov,202,2,184,2,failure,0
30377,56,technician,divorced,secondary,no,1480,yes,yes,cellular,5,feb,576,1,-1,0,unknown,0
14553,45,technician,married,unknown,no,557,yes,no,cellular,15,jul,80,4,-1,0,unknown,0
10305,45,blue-collar,married,primary,no,714,no,no,unknown,12,jun,108,1,-1,0,unknown,0
39484,50,services,divorced,secondary,no,641,no,no,cellular,25,may,128,3,-1,0,unknown,0
8065,31,blue-collar,married,secondary,no,-45,yes,no,unknown,2,jun,184,1,-1,0,unknown,0
4499,35,blue-collar,single,primary,no,47,no,no,unknown,20,may,317,1,-1,0,unknown,0
23146,32,management,married,tertiary,no,0,no,no,cellular,26,aug,104,9,-1,0,unknown,0
44467,82,retired,divorced,primary,no,0,no,no,cellular,6,aug,381,3,295,1,failure,0
21261,51,technician,divorced,secondary,no,2323,yes,yes,cellular,18,aug,151,10,-1,0,unknown,0
8217,48,entrepreneur,married,secondary,no,2247,yes,no,unknown,2,jun,60,9,-1,0,unknown,0
43220,25,blue-collar,single,secondary,no,509,no,no,cellular,5,mar,418,1,-1,0,unknown,1
35363,28,blue-collar,married,secondary,no,922,yes,no,cellular,7,may,226,1,339,1,other,0
41925,57,management,married,tertiary,no,375,no,no,cellular,21,oct,135,1,-1,0,unknown,1
37518,44,services,married,secondary,no,4837,yes,no,cellular,13,may,324,3,-1,0,unknown,0
17932,43,technician,single,secondary,no,54,yes,no,cellular,30,jul,62,2,-1,0,unknown,0
9244,38,blue-collar,single,secondary,no,68,no,no,unknown,5,jun,90,2,-1,0,unknown,0
40020,57,retired,married,secondary,no,5313,no,no,cellular,3,jun,200,1,-1,0,unknown,1
27119,43,management,married,tertiary,no,2100,yes,no,cellular,21,nov,105,1,-1,0,unknown,0
30962,31,management,single,tertiary,no,43,yes,no,cellular,9,feb,297,7,-1,0,unknown,0
27919,55,admin.,married,unknown,no,98,no,yes,cellular,28,jan,214,1,-1,0,unknown,0
25118,54,management,married,tertiary,no,214,yes,no,cellular,18,nov,68,1,-1,0,unknown,0
34582,47,technician,married,secondary,no,232,yes,no,cellular,5,may,166,2,285,1,failure,0
30040,53,entrepreneur,married,secondary,no,230,yes,no,cellular,4,feb,56,2,250,1,other,0
10369,55,technician,married,secondary,no,57,yes,no,unknown,12,jun,331,12,-1,0,unknown,0
5885,32,blue-collar,divorced,secondary,no,3,yes,no,unknown,26,may,114,3,-1,0,unknown,0
37771,30,blue-collar,married,primary,no,99,yes,no,telephone,14,may,93,1,-1,0,unknown,0
38064,32,admin.,single,secondary,no,45,yes,yes,cellular,14,may,908,3,344,7,other,0
7330,35,management,married,secondary,no,1,yes,no,unknown,29,may,246,2,-1,0,unknown,0
1750,27,self-employed,single,secondary,no,78,yes,no,unknown,9,may,825,1,-1,0,unknown,0
23116,32,management,married,secondary,no,0,no,no,cellular,26,aug,277,3,-1,0,unknown,0
29022,36,admin.,married,secondary,no,854,yes,no,cellular,2,feb,130,1,-1,0,unknown,0
7275,38,admin.,single,secondary,no,2345,yes,no,unknown,29,may,174,2,-1,0,unknown,0
32998,36,blue-collar,married,secondary,no,0,yes,no,cellular,17,apr,87,2,322,4,failure,0
3252,45,blue-collar,married,secondary,no,-149,yes,no,unknown,15,may,644,2,-1,0,unknown,0
8567,32,technician,single,secondary,no,258,no,no,unknown,3,jun,114,3,-1,0,unknown,0
18859,42,technician,married,tertiary,no,1619,no,no,cellular,4,aug,148,1,-1,0,unknown,0
38279,59,blue-collar,divorced,secondary,no,3573,no,no,cellular,15,may,44,1,-1,0,unknown,0
14207,25,admin.,single,secondary,no,184,no,yes,telephone,11,jul,437,7,-1,0,unknown,0
13755,47,admin.,married,secondary,no,2,no,no,cellular,10,jul,89,1,-1,0,unknown,0
27433,41,management,married,secondary,no,0,no,no,cellular,21,nov,624,1,-1,0,unknown,0
18976,54,retired,married,secondary,no,763,no,no,cellular,4,aug,389,2,-1,0,unknown,0
18029,53,self-employed,married,primary,no,4576,no,no,telephone,30,jul,82,2,-1,0,unknown,0
2886,33,blue-collar,single,secondary,no,164,yes,no,unknown,14,may,461,1,-1,0,unknown,0
5266,31,blue-collar,married,secondary,no,714,yes,no,unknown,23,may,254,1,-1,0,unknown,0
8184,43,admin.,married,secondary,no,6220,yes,no,unknown,2,jun,200,2,-1,0,unknown,0
11470,56,blue-collar,married,secondary,no,771,yes,yes,unknown,19,jun,254,1,-1,0,unknown,0
25366,46,blue-collar,married,secondary,no,942,no,no,cellular,18,nov,240,3,119,2,failure,0
8418,36,housemaid,married,primary,no,191,yes,no,unknown,3,jun,132,1,-1,0,unknown,0
19553,35,management,married,secondary,no,616,no,yes,cellular,7,aug,92,2,-1,0,unknown,0
44189,47,admin.,married,secondary,no,3676,no,no,cellular,15,jul,415,2,342,1,other,1
7395,41,housemaid,divorced,tertiary,no,9767,yes,no,unknown,29,may,162,2,-1,0,unknown,0
25305,40,technician,married,secondary,no,7313,yes,no,cellular,18,nov,241,2,182,1,failure,0
33964,59,retired,married,secondary,no,493,no,no,cellular,30,apr,237,1,-1,0,unknown,1
7083,34,services,single,secondary,no,34,yes,yes,unknown,29,may,333,3,-1,0,unknown,0
19598,37,management,single,tertiary,no,200,no,no,cellular,7,aug,259,4,-1,0,unknown,0
14966,31,admin.,single,secondary,no,0,yes,no,cellular,16,jul,1056,2,-1,0,unknown,0
15876,47,technician,married,secondary,no,-18,yes,no,telephone,21,jul,105,2,-1,0,unknown,0
13213,35,services,single,primary,no,790,no,no,cellular,8,jul,221,1,-1,0,unknown,0
448,50,self-employed,married,unknown,no,-84,yes,no,unknown,6,may,101,1,-1,0,unknown,0
12040,55,housemaid,divorced,unknown,no,1276,no,no,unknown,20,jun,8,12,-1,0,unknown,0
9616,38,blue-collar,single,secondary,no,-56,yes,yes,unknown,6,jun,247,2,-1,0,unknown,0
7752,36,blue-collar,married,secondary,no,740,yes,no,unknown,30,may,171,2,-1,0,unknown,0
20827,38,technician,single,secondary,no,227,no,no,cellular,13,aug,95,4,-1,0,unknown,0
23229,59,management,married,tertiary,no,0,no,no,cellular,27,aug,87,4,-1,0,unknown,0
39012,52,admin.,single,unknown,no,872,yes,no,telephone,18,may,82,6,335,1,other,0
17082,31,housemaid,single,secondary,no,0,yes,no,cellular,25,jul,293,4,-1,0,unknown,0
14455,52,admin.,married,primary,no,0,yes,no,cellular,14,jul,218,3,-1,0,unknown,0
424,40,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,225,1,-1,0,unknown,0
31058,72,retired,married,tertiary,no,0,no,no,cellular,13,feb,99,1,-1,0,unknown,1
17043,40,blue-collar,married,secondary,no,60,no,yes,cellular,25,jul,36,1,-1,0,unknown,0
23591,44,technician,married,secondary,no,65,no,no,telephone,28,aug,53,11,-1,0,unknown,0
5911,42,blue-collar,married,unknown,no,0,no,no,unknown,26,may,270,2,-1,0,unknown,0
10835,45,blue-collar,married,primary,no,4696,no,no,unknown,17,jun,99,1,-1,0,unknown,0
3349,44,services,married,secondary,no,-22,yes,no,unknown,15,may,37,1,-1,0,unknown,0
38023,41,admin.,divorced,secondary,no,783,yes,yes,cellular,14,may,135,3,363,2,failure,0
12916,52,unemployed,married,tertiary,no,1023,no,no,cellular,7,jul,107,6,-1,0,unknown,0
25473,46,blue-collar,divorced,secondary,no,138,no,no,cellular,19,nov,277,1,-1,0,unknown,0
5331,36,admin.,married,secondary,no,-118,yes,yes,unknown,23,may,263,2,-1,0,unknown,0
3994,41,blue-collar,divorced,secondary,no,-104,yes,no,unknown,16,may,32,3,-1,0,unknown,0
43670,66,retired,married,secondary,no,3409,no,no,cellular,12,may,801,1,86,2,failure,0
932,33,blue-collar,married,secondary,no,0,no,no,unknown,7,may,107,1,-1,0,unknown,0
12100,45,unknown,married,secondary,no,11285,no,no,unknown,20,jun,13,5,-1,0,unknown,0
44113,27,admin.,single,secondary,no,914,no,no,cellular,8,jul,131,2,-1,0,unknown,0
22480,49,management,married,tertiary,no,234,no,no,cellular,22,aug,55,6,-1,0,unknown,0
42317,49,technician,divorced,secondary,no,972,no,no,cellular,16,nov,104,3,175,2,failure,0
11811,56,blue-collar,married,unknown,no,665,yes,no,unknown,20,jun,109,2,-1,0,unknown,0
43903,30,blue-collar,single,secondary,no,799,no,no,unknown,13,jun,674,1,-1,0,unknown,1
18152,39,self-employed,single,tertiary,no,3972,no,no,cellular,30,jul,122,3,-1,0,unknown,0
18627,53,retired,married,tertiary,no,-22,yes,no,cellular,31,jul,20,3,-1,0,unknown,0
5016,35,technician,married,secondary,no,1,yes,yes,unknown,21,may,85,1,-1,0,unknown,0
22546,47,housemaid,married,secondary,no,443,no,no,cellular,22,aug,222,3,-1,0,unknown,0
29111,38,services,single,secondary,no,4317,yes,no,cellular,2,feb,216,2,-1,0,unknown,0
43395,86,retired,married,primary,no,5236,no,no,telephone,1,apr,558,2,-1,0,unknown,1
1154,54,technician,divorced,secondary,no,1904,yes,yes,unknown,7,may,280,3,-1,0,unknown,0
44658,38,management,married,tertiary,no,630,no,no,cellular,2,sep,362,1,388,3,other,1
3299,57,blue-collar,married,secondary,no,2192,no,no,unknown,15,may,208,2,-1,0,unknown,0
41328,32,management,married,tertiary,no,937,no,no,cellular,28,aug,90,1,94,2,failure,0
33789,24,services,single,unknown,no,2022,no,no,cellular,23,apr,159,4,-1,0,unknown,1
5095,32,admin.,divorced,secondary,no,335,yes,no,unknown,21,may,501,2,-1,0,unknown,0
40750,54,technician,married,secondary,no,10185,no,no,cellular,10,aug,559,1,70,2,other,1
8768,57,management,single,secondary,no,137,yes,no,unknown,4,jun,91,4,-1,0,unknown,0
44330,57,technician,married,tertiary,no,1181,no,no,cellular,29,jul,169,2,182,2,success,1
26366,35,blue-collar,married,secondary,no,450,no,no,cellular,20,nov,95,2,-1,0,unknown,0
13934,38,management,married,tertiary,no,1722,yes,no,cellular,10,jul,500,1,-1,0,unknown,1
5255,37,blue-collar,married,secondary,no,453,yes,yes,unknown,23,may,98,1,-1,0,unknown,0
34982,29,technician,single,tertiary,no,-803,yes,yes,cellular,6,may,827,1,329,9,failure,0
7,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,0
4291,44,blue-collar,married,secondary,no,1087,yes,no,unknown,19,may,100,2,-1,0,unknown,0
22222,36,technician,single,secondary,no,18,no,no,cellular,21,aug,67,2,-1,0,unknown,0
45208,71,retired,divorced,primary,no,1729,no,no,cellular,17,nov,456,2,-1,0,unknown,1
32185,40,technician,married,tertiary,no,677,yes,no,cellular,15,apr,110,3,-1,0,unknown,0
27392,32,self-employed,single,tertiary,no,-98,no,yes,cellular,21,nov,157,2,-1,0,unknown,0
17100,49,admin.,divorced,secondary,no,560,yes,no,cellular,25,jul,85,3,-1,0,unknown,0
10165,35,blue-collar,divorced,unknown,no,164,no,no,unknown,11,jun,967,2,-1,0,unknown,1
18021,52,unemployed,married,primary,no,959,no,no,telephone,30,jul,694,2,-1,0,unknown,1
14644,51,services,divorced,secondary,no,65,no,yes,cellular,15,jul,881,1,-1,0,unknown,1
9552,30,student,single,unknown,no,1232,yes,no,unknown,6,jun,52,4,-1,0,unknown,0
16544,35,technician,married,tertiary,no,-290,yes,yes,cellular,24,jul,265,3,-1,0,unknown,0
12469,29,services,single,secondary,no,1357,no,yes,unknown,1,jul,200,1,-1,0,unknown,0
18492,55,services,married,secondary,no,3546,yes,yes,cellular,31,jul,268,2,-1,0,unknown,0
26543,30,admin.,married,secondary,no,1794,no,no,cellular,20,nov,1035,1,-1,0,unknown,1
38186,32,services,married,secondary,no,1398,yes,yes,cellular,15,may,233,1,-1,0,unknown,0
27419,40,management,married,tertiary,no,1584,yes,no,telephone,21,nov,661,1,-1,0,unknown,0
25823,52,entrepreneur,divorced,tertiary,no,3975,no,no,cellular,19,nov,116,5,-1,0,unknown,0
16869,34,services,divorced,secondary,no,380,yes,yes,cellular,25,jul,102,2,-1,0,unknown,0
